pattern_id,regex,grammatical_item,Sentence_type,grammatical_item_JP,Sentence_type_JP,shorthand_code,,comment,abbreviated_pattern
1,I_PP_I (am|'m)_VBP_be(?! (not|n't)_),I am,AFF. DEC.,人称代名詞主格(I)+be: I am,肯定平叙,PP.I_am,,,I (am|'m) (?!{not})
1,I_PP_I (am|'m)_VBP_be (not|n't)_\S+,I am not,NEG. DEC.,人称代名詞主格(I)+be: I am not,否定平叙,PP.I_am_not,,,I (am|'m) {not}
1,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kam_VBP_be I_PP_I(?! not_) .+? \?_SENT_\?",Am I ...?,AFF. INT.,人称代名詞主格(I)+be: Am I ...?,肯定疑問,PP.am_I,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) am I (?!not) (任意の語)*? ?
1,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(am_VBP_be I_PP_I not_\S+|are_VBP_be n't_\S+ I_PP_I) .+? \?_SENT_\?",Am I not ...?,NEG. INT.,人称代名詞主格(I)+be: Am I not ...?,否定疑問,PP.am_I_not,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) (am I not|aren't I) (任意の語)*? ?
2,"(^|\S+_(``|''|\(|,|:|LS)_\S+)\Kyou_PP_you (are|'re)_VBP_be(?! (not|n't)_)",You are,AFF. DEC.,人称代名詞主格(you)+be: You are,肯定平叙,PP.you_are,,文頭(相当)位置に限定,(^|区切り位置) you (are|'re) (?!{not})
2,"(^|\S+_(``|''|\(|,|:|LS)_\S+)\Kyou_PP_you (are|'re)_VBP_be (not|n't)_\S+",You are not,NEG. DEC.,人称代名詞主格(you)+be: You are not,否定平叙,PP.you_are_not,,文頭(相当)位置に限定,(^|区切り位置) you (are|'re) {not}
2,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be you_PP_you(?! not_) .+? \?_SENT_\?",Are you ...?,AFF. INT.,人称代名詞主格(you)+be: Are you ...?,肯定疑問,PP.are_you,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are you (?!{not}) (任意の語)*? ?
2,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be (n't_\S+ you_PP_you|you_PP_you not_\S+) .+? \?_SENT_\?",Aren't you ...?,NEG. INT.,人称代名詞主格(you)+be: Aren't you ...? / Are you not ...?,否定疑問,PP.aren't_you,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are (n't you|you not) (任意の語)*? ?
3,\b(he|she)_PP_(he|she) (is|'s)_VBZ_be(?! (not|n't)_),he/she is,AFF. DEC.,人称代名詞主格(he/she)+be: he/she is,肯定平叙,PP.he.she_is,,,(he|she) (is|'s) (?!{not})
3,\b(he|she)_PP_(he|she) (is|'s)_VBZ_be (not|n't)_\S+,he/she is not,NEG. DEC.,人称代名詞主格(he/she)+be: he/she is not,否定平叙,PP.he.she_is_not,,,(he|she) (is|'s) {not}
3,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (he|she)_PP_(he|she)(?! not_) .+? \?_SENT_\?",Is he/she ...?,AFF. INT.,人称代名詞主格(he/she)+be: Is he/she ...?,肯定疑問,PP.is_he.she,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) is (he|she) (?!{not}) (任意の語)*? ?
3,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (n't_\S+ (he|she)_PP_(he|she)|(he|she)_PP_(he|she) not_\S+) .+? \?_SENT_\?",Isn't he/she ...?,NEG. INT.,人称代名詞主格(he/she)+be: Isn't he/she ...? / Is he/she not ...?,否定疑問,PP.isn't_he.she,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) is (n't (he|she)|(he|she) not) (任意の語)*? ?
4,we_PP_we (are|'re)_VBP_be(?! (not|n't)_),we are,AFF. DEC.,人称代名詞主格(we)+be: we are,肯定平叙,PP.we_are,,,we (are|'re) (?!{not})
4,we_PP_we (are|'re)_VBP_be (not|n't)_\S+,we are not,NEG. DEC.,人称代名詞主格(we)+be: we are not,否定平叙,PP.we_are_not,,,we (are|'re) {not}
4,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be we_PP_we(?! not_) .+? \?_SENT_\?",Are we ...?,AFF. INT.,人称代名詞主格(we)+be: Are we ...?,肯定疑問,PP.are_we,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are we (?!{not}) (任意の語)*? ?
4,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be (n't_\S+ we_PP_we|we_PP_we not_\S+) .+? \?_SENT_\?",Aren't we ...?,NEG. INT.,人称代名詞主格(we)+be: Aren't we ...? / Are we not ...?,否定疑問,PP.aren't_we,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are (n't we|we not) (任意の語)*? ?
5,they_PP_they (are|'re)_VBP_be(?! (not|n't)_),they are,AFF. DEC.,人称代名詞主格(they)+be: they are,肯定平叙,PP.they_are,,,they (are|'re) (?!{not})
5,they_PP_they (are|'re)_VBP_be (not|n't)_\S+,they are not,NEG. DEC.,人称代名詞主格(we)+be: they are not,否定平叙,PP.they_are_not,,,they (are|'re) {not}
5,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be they_PP_they(?! not_) .+? \?_SENT_\?",Are they ...?,AFF. INT.,人称代名詞主格(we)+be: Are they ...?,肯定疑問,PP.are_they,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are they (?!{not}) (任意の語)*? ?
5,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be (n't_\S+ they_PP_they|they_PP_they not_\S+) .+? \?_SENT_\?",Aren't they ...?,NEG. INT.,人称代名詞主格(we)+be: Aren't they ...? / Are they not ...?,否定疑問,PP.aren't_they,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are (n't they|they not) (任意の語)*? ?
6,\b(my|our|your|her|their)_PP\$_\1\b,my/our/your/her/their (except for 'his' and 'its'),,人称代名詞所有格(my/our/your/her/their),,PGEN,,his/itsを除く,(my|our|your|her|their)
7,\b(me|us|him|her|them)_PP_\1\b,me/us/him/her/them (except for 'you' and 'it'),,人称代名詞目的格(me/us/him/her/them),,PPO,,you/itを除く,(me|us|him|her|them)
8,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(this|that)_\S+ (is|'s)_VBZ_be(?! (not|n't)_)",This/That is,AFF. DEC.,指示代名詞(this/that)+be: This/That is,肯定平叙,DT.this.that_is,,文頭(相当)または接続詞直後の位置に限定,(^|区切り位置|接続詞) (this|that) (is|'s) (?!{not})
8,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(this|that)_\S+ (is|'s)_VBZ_be (not|n't)_\S+",This/That is not,NEG. DEC.,指示代名詞(this/that)+be: This/That is not,否定平叙,DT.this.that_is_not,,文頭(相当)または接続詞直後の位置に限定,(^|区切り位置|接続詞) (this|that) (is|'s) {not}
8,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (this|that)_\S+_(this|that)(?! \S+_NN_\S+)(?! not_) .+? \?_SENT_\?",Is this/that ...?,AFF. INT.,指示代名詞(this/that)+be: Is this/that ...?,肯定疑問,DT.is_this.that,,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定；this/thatの後にNNが続かないものに限定,(^|区切り位置|接続詞) is (this|that) (?!NN) (?!{not}) (任意の語)*? ?
8,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (n't_\S+ (this|that)_\S+_(this|that)(?! \S+_NN_\S+)|(this|that)_\S+ not_\S+) .+? \?_SENT_\?",Isn't this/that ...?,NEG. INT.,指示代名詞(this/that)+be: Isn't this/that ...? / Is this/that not ...?,否定疑問,DT.isn't_this.that,,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定；this/thatの後にNNが続かないものに限定,(^|区切り位置|接続詞) is (n't (this|that) (?!NN)|(this|that) not) (任意の語)*? ?
9,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(these|those)_\S+ (are|'re)_VBP_be(?! (not|n't)_)",These/Those are,AFF. DEC.,指示代名詞(these/those)+be: These/Those are,肯定平叙,DT.these.those_are,,文頭(相当)または接続詞直後の位置に限定,(^|区切り位置|接続詞) (these|those) (are|'re) (?!{not})
9,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(these|those)_\S+ (are|'re)_VBP_be (not|n't)_\S+",These/Those are not,NEG. DEC.,指示代名詞(these/those)+be: These/Those are not,否定平叙,DT.these.those_are_not,,文頭(相当)または接続詞直後の位置に限定,(^|区切り位置|接続詞) (these|those) (are|'re) {not}
9,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be (these|those)_\S+_(these|those)(?! \S+_NNS_\S+)(?! not_) .+? \?_SENT_\?",Are these/those ...?,AFF. INT.,指示代名詞(these/those)+be: Are these/those ...?,肯定疑問,DT.are_these.those,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定；these/thoseの後にNNSが続かないものに限定,(^|区切り位置|接続詞) are (these|those) (?!NNS) (?!{not}) (任意の語)*? ?
9,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be (n't_\S+ (these|those)_\S+_(these|those)(?! \S+_NNS_\S+)|(these|those)_\S+ not_\S+) .+? \?_SENT_\?",Aren't these/those ...?,NEG. INT.,指示代名詞(these/those)+be: Aren't these/those ...? / Are these/those not ...?,否定疑問,DT.aren't_these.those,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定；these/thoseの後にNNSが続かないものに限定,(^|区切り位置|接続詞) are (n't (these|those) (?!NNS)|(these|those) not) (任意の語)*? ?
10,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kit_PP_it (is|'s)_VBZ_be(?! (not|n't)_)",It is,AFF. DEC.,指示代名詞(it)+be: It is,肯定平叙,PP.it_is,,文頭(相当)または接続詞直後の位置に限定,(^|区切り位置|接続詞) it (is|'s) (?!{not})
10,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kit_PP_it (is|'s)_VBZ_be (not|n't)_\S+",It is not,NEG. DEC.,指示代名詞(it)+be: It is not,否定平叙,PP.it_is_not,,文頭(相当)または接続詞直後の位置に限定,(^|区切り位置|接続詞) it (is|'s) {not}
10,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be it_PP_it(?! not_) .+? \?_SENT_\?",Is it ...?,AFF. INT.,指示代名詞(it)+be: Is it ...?,肯定疑問,PP.is_it,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) is it (?!{not}) (任意の語)*? ?
10,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (n't_\S+ it_PP_it|it_PP_it not_\S+) .+? \?_SENT_\?",Isn't it ...?,NEG. INT.,指示代名詞(it)+be: Isn't it ...? / Is it not ...?,否定疑問,PP.isn't_it,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) is (n't it|is not) (任意の語)*? ?
11,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(this|that)_DT_(this|that) \S+_NN_\S+",This/That N,AFF. DEC./NEG. DEC.,指示形容詞(This/That+名詞),肯定平叙・否定平叙,DT.this.that_N,,文頭(相当)または接続詞直後の位置に限定；名詞はNNに限定,(^|区切り位置|接続詞) (this|that) NN
12,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(these|those)_DT_(these|those) \S+_NNS_\S+",These/Those N,AFF. DEC./NEG. DEC.,指示形容詞(These/Those+名詞),肯定平叙・否定平叙,DT.these.those_N,,文頭(相当)または接続詞直後の位置に限定；名詞はNNSに限定,(^|区切り位置|接続詞) (these|those) NNS
13,\b(a|an)_DT_(a|an)\b,INDEFINITE ARTICLES,,不定冠詞,,DT.a.an,,,(a|an)
14,the_DT_the,DEFINITE ARTICLES,,定冠詞,,DT.the,,,the
15,(some|any)_DT_(some|any),DETERMINERS: some/any,,決定詞(some/any),,DT.some.any,,代名詞としての用法も含まれる,(some|any)
16,no_DT_no,DETERMINER: no,,決定詞(no),,DT.no,,,no
17,another_DT_another,DETERMINER: another,,決定詞(another),,DT.another,,代名詞としての用法も含まれる,another
18,much_JJ_much \S+_NN_\S+,much UNCOUNTABLE NOUN,,much+不可算名詞,,QUANT.much,,,much NN
19,little_JJ_little \S+_NN_\S+,little UNCOUNTABLE NOUN,,little+不可算名詞,,QUANT.little,,,little NN
20,(?<!(a_DT_a |nother |_every |._next ))few_JJ_few \S+_NNS_\S+,few PLURAL NOUN,,few+複数形名詞,,QUANT.few,,a/another/every/nextが先行しないものに限定,(?<!(a_DT_a |nother |_every |._next ))few NNS
21,\b(?<preposition>aboard|about|above|across|after|against|along|alongside|amid|amidst|among|amongst|around|at|before|behind|below|beneath|beside|besides|between|beyond|by|despite|down|during|en|ere|except|for|from|in|inside|into|like|minus|near|nearer|nearest|notwithstanding|of|off|on|onto|opposite|out|outside|over|past|per|plus|re|reference|round|sans|save|since|than|through|throughout|till|toward|towards|under|underneath|unlike|until|up|upon|v\.|versus|via|vs\.|with|within|without|worth)_IN_\g{preposition}\b,PREPOSITIONS,,前置詞,,IN.PREP.GENERAL,,asとtoを除く主要な前置詞；aboard/about/above/across/after/against/along/alongside/amid/amidst/among/amongst/around/at/before/behind/below/beneath/beside/besides/between/beyond/by/despite/down/during/en/ere/except/for/from/in/inside/into/like/minus/near/nearer/nearest/notwithstanding/of/off/on/onto/opposite/out/outside/over/past/per/plus/re/reference/round/sans/save/since/than/through/throughout/till/toward/towards/under/underneath/unlike/until/up/upon/v./versus/via/vs./with/within/without/worthに限定,前置詞
22,\b(mine|ours|yours|hers|theirs)_PP_\1\b,POSSESSIVE PRONOUNS (except for 'his' and 'its'),,所有代名詞,,PPOS.mine.etc,,hisとitsを除く；mineはNNと誤認識されることも多い,(mine|ours|yours|hers|theirs)_PP
23,\b(myself|ourselves|yourself|yourselves|himself|herself|itself|themselves|oneself)_PP_\1\b,REFLEXIVE PRONOUNS,,再帰代名詞,,PREFL.oneself.etc,,,(myself|ourselves|yourself|yourselves|himself|herself|itself|themselves|oneself)_PP
24,\b(some|every|any|no)(thing|one|body)_\S+_\1\2\b|no_(DT|RB)_no one_(CD|PP)_one,INDEFINITE PRONOUNS,,不定代名詞(-thing/-one/-body),,PIND.nobody.anything.etc,,some-/every-/any-/no- + -thing/-one/-body,(some|every|any|no)(thing|one|body)|no one
25,\bones_NNS_one\b,INDEFINITE PRONOUN/PROP-WORDS: ones (except for 'one'),,不定代名詞・支柱語(ones),,PIND.ones,,単数形のoneは数詞との区別ができないため除く；不定代名詞・支柱語(prop word)のタグによる区別はできない,ones
26,\bnone_NN_none\b,INDEFINITE PRONOUN: none,,不定代名詞(none),,PIND.none,,,none
27,each_DT_each other_(JJ|NN)_other,RECIPROCAL PRONOUN: each other,,相互代名詞(each other),,PREF.each_other,,,each other
28,one_(CD|PP)_one another_DT_another,RECIPROCAL PRONOUN: one another,,相互代名詞(one another),,PREF.one_another,,,one another
29,(?<!_the )\bothers_NNS_other\b,PRONOUN: others (excluding 'the others'),,代名詞(others) (the othersを除く),,P.others,,theが先行しないものに限定,(?<!the) others
30,the_DT_the (other_JJ_other|others_NNS_other)\b(?! \S+_(N|CD|JJ)),PRONOUNS: the other/others,,代名詞(the other/others),,P.the_other.others,,名詞・数詞・形容詞が後続しないものに限定,the (other|others) (?! (N|CD|JJ))
31,\b((some|every|any|no)thing)_\S+_\1 \S+_JJ[RS]?_\S+,#NAME?,,#NAME?,,NN.thing_JJ,,,(some|every|any|no)thing JJ[RS]?
32,\b(always|usually|often|frequently|occasionally|sometimes|rarely)_RB_\1\b,ADVERBS OF FREQUENCY: always/usually/often/frequently/occasionally/sometimes/rarely,,副詞(頻度),,RB.FRQ,,always/usually/often/frequently/occasionally/sometimes/rarelyに限定,(always|usually|often|frequently|occasionally|sometimes|rarely)
33,\b(extremely|greatly|really|so|terribly|too|unbelievably|very)_RB_\1 \S+_(JJ[RS]?|RB[RS]?)_\S+,ADVERBS: INTENSIFIERS: extremely/greatly/really/so/terribly/too/unbelievably/very,,副詞(強意),,RB.INT,,extremely/greatly/really/so/terribly/too/unbelievably/veryに限定；形容詞または副詞が後続するものに限定,(extremely|greatly|really|so|terribly|too|unbelievably|very)_RB (JJ[RS]?|RB[RS]?)
34,\b(apparently|clearly|fortunately|frankly|unfortunately)_RB_\1\b,ADVERBS OF ATTITUDES: apparently/clearly/fortunately/frankly/unfortunately,,副詞(態度),,RB.ATT,,apparently/clearly/fortunately/frankly/unfortunatelyに限定,(apparently|clearly|fortunately|frankly|unfortunately)
35,\bnever_RB_never\b,ADVERBS OF NEGATION: never,,副詞(否定),,RB.NEG,,neverに限定,never
36,\b(hardly|(?<!_a )little|scarcely|seldom)_RB_\1\b,ADVERBS OF QUASI-NEGATION: hardly/little/scarcely/seldom,,副詞(準否定),,RB.NEG.QU,,hardly/little/scarcely/seldomに限定；littleはaが先行しないものに限定,(hardly|(?<!_a )little|scarcely|seldom)_RB
37,(?<!_not )(?<!_n't )as_(RB|IN)_as \S+_(JJ|RB)_\S+ as_(RB|IN)_as,COMPARISON OF EQUALITY: as ... as,AFF. DEC./AFF. INT./NEG. DEC.,同等比較(as+前置詞/副詞+as),肯定平叙・肯定疑問・否定疑問,COMP.EQ.as_as,,as many asなどの場合あり,(?<!{not}) as (JJ|RB) as
37,\b(not|n't)_\S+ (as|so)_(RB|IN)_(as|so) \S+_(JJ|RB)_\S+ as_(RB|IN)_as,COMPARISON OF EQUALITY: not as/so ... as,NEG. DEC.,同等比較(as/so+前置詞/副詞+as),否定平叙,COMP.EQ.not_as.so_as,,,{not} (as|so) (JJ|RB) as
38,\b(?!(more|less)_)\S+_(JJR|RBR)_\S+,COMPARATIVE OF SUPERIORITY: -er and irregular forms,,比較級(優勢比較) (-er) (better等の不規則変化形を含む),,COMP.JJR.RBR.er,,moreとlessを除く,(?!(more|less)_)(JJR|RBR)
39,more_RBR_more \S+_(JJ|RB)_\S+,COMPARATIVE OF SUPERIORITY: more+ADJ/ADV,,比較級(優勢比較) (more+形容詞/副詞),,COMP.JJR.RBR.more,,比較級を作る副詞のmoreはJJRと誤認識されることも多い,more_RBR (JJ|RB)
40,\b(?!(most|least)_)\S+_(JJS|RBS)_\S+,SUPERLATIVE OF SUPERIORITY: -est and irregular forms,,最上級(優勢比較) (-est) (best等の不規則変化形を含む),,COMP.JJS.RBS.est,,mostとleastを除く,(?!(most|least)_)(JJS|RBS)
41,most_RBS_most \S+_(JJ|RB)_\S+,SUPERLATIVE OF SUPERIORITY: most+ADJ/ADV,,最上級(優勢比較) (most+形容詞/副詞),,COMP.JJS.RBS.most,,比較級を作る副詞のmostはJJSと誤認識されることも多い,most_RBS (JJ|RB)
42,(less_RBR_less|least_RBS_least) \S+_(JJ|RB)_\S+,COMPARATIVE/SUPERLATIVE OF INFERIORITY,,劣勢比較,,COMP.INFER,,比較級を作る副詞のlessはJJRと誤認識されることも多い,(less_RBR|least_RBS) (JJ|RB)
43,(?!(not|n't)_)\b\S+_(JJR?|RBR?)_\S+ enough_RB_enough,ADJ/ADV enough (except for 'not enough'),,形容詞/副詞+enough,,RBDEG.enough,,{not} enoughを除く；enoughがJJまたはNNと誤認識されていることもある,(?!{not})(JJR?|RBR?) enough_RB
44,too_RB_too \S+_(JJ|RB)_\S+ to_TO_to \S+_V._\S+,too ADJ/ADV to+INFINITIVE,,too+形容詞/副詞+to不定詞,,RBDEG.too_to,,,too (JJ|RB) to_TO V.
45,\S+_VB.?_be \Kso_RB_so \S+_(JJ|RB)_\S+( that_IN/THAT_that)? ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) \S+_(MD|V.[DPZ]|RB.?)_\S+,so ADJ/ADV (that) CLAUSE,AFF. DEC.,so+形容詞/副詞+(that)節,肯定平叙,RBDEG.so_JJ.RB_that,,be動詞に続くものに限定；節部分は名詞句・代名詞+(助)動詞・副詞に限定；soがINと誤認識されていることもある,{be} \K so_RB (JJ|RB) (CST) 名詞句・代名詞 (MD|V.[DPZ]|RB.?)
46,such_(PDT|JJ)_such( (a|an)_DT_(a|an))? \S+_JJ_\S+ \S+_NNS?_\S+,such (a/an) ADJ NOUN,,such(+a/an)+形容詞+名詞,,RBDEG.such_JJ,,,such (a|an)? JJ NNS?
47,so_RB_so \S+_JJ_\S+ (a|an)_DT_(a|an) \S+_NN_\S+,so ADJ a/an NOUN,,so+形容詞+a/an+名詞,,RBDEG.so_JJ_a.an,,,so JJ (a|an) NN
48,too_RB_too \S+_JJ_\S+ (a|an)_DT_(a|an) \S+_NN_\S+,too ADJ a/an NOUN,,too+形容詞+a/an+名詞,,RBDEG.too_JJ_a.an,,,too JJ (a|an) NN
49,\b(\S+_(JJR|RBR)_\S+) and_CC_and \1,COMPARATIVE and COMPARATIVE (the same adjective),,比較級 and 比較級 (同じ比較級),,COMP.and,,,(JJR|RBR) and \1
50,"the_DT_the \S+_(JJR|RBR)_\S+( \S+_\S+_\S+){0,8} the_DT_the \S+_(JJR|RBR)_\S+","the COMPARATIVE (...), the COMPARATIVE",,"the+比較級 (...), the+比較級",,COMP.the_the,,間に入る語句は0～8語に限定,"the (JJR|RBR) (任意の語)*? , the (JJR|RBR)"
51,(a_DT_a lot_(RB|NN)_lot|by_IN_by far_RB_far|even_RB_even|far_RB_far|much_RB_much|still_RB_still) \S+_(JJR|RBR)_\S+,INTENSIFIED COMPARATIVES: a lot/by far/even/far/much/still,,比較級の強調 (evenなど),,COMP.even_JJR.RBR,,a lot/by far/even/far/much/still,(a lot|by far|even|far|much|still) (JJR|RBR)
52,(by_IN_by far_RB_far|far_RB_far|far_RB_far and_CC_and away_RB_away|much_RB_much) the_DT_the \S+_(JJS|RBS)_\S+|the_DT_the very_RB_very \S+_(JJS|RBS)_\S+,INTENSIFIED SUPERLATIVES: by far/far/far and away/much,,最上級の強調 (by far),,COMP.by_far_JJS.RBS,,by far/far/far and away/much,(by far|far|far and away|much) the (JJS|RBS)|the very (JJS|RBS)
53,((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) \Kdo(es)?_VV[PZ]?_do \S+_V._\S+,do/does DO,AFF. DEC.,do/doesによる強調,肯定平叙,V.INT.do_does,,,名詞句・代名詞 \K do(es) V.
54,((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) \Kdid_VVD_do \S+_V._\S+,did DO,AFF. DEC.,didによる強調,肯定平叙,V.INT.did,,,名詞句・代名詞 \K did V.
55,\S+_V[HV].?_\S+ (?<particle>about|above|across|after|along|alongside|around|before|behind|below|beside|besides|between|beyond|by|down|in|inside|near|off|on|out|outside|over|past|through|under|underneath|up)_RB_\g{particle}\b,PHRASAL VERBS (V+PARTICLE),,句動詞(動詞+パーティクル),,PHV.V_PART,,動詞はbeを除く；パーティクルは主要なもの,V[HV].? パーティクル
56,\S+_V[HV].?_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) (?<particle>about|above|across|after|along|alongside|around|before|behind|below|beside|besides|between|beyond|by|down|in|inside|near|off|on|out|outside|over|past|through|under|underneath|up)_RB_\g{particle}\b,PHRASAL VERBS (V+NP+PARTICLE),,句動詞(動詞+名詞句・代名詞+パーティクル),,PHV.V_NP_PART,,動詞はbeを除く；パーティクルは主要なもの,V[HV].? 名詞句・代名詞 パーティクル
57,\S+_V[HV].?_\S+ (?<particle>about|above|across|after|along|alongside|around|before|behind|below|beside|besides|between|beyond|by|down|in|inside|near|off|on|out|outside|over|past|through|under|underneath|up)_RB_\g{particle} (?<preposition>aboard|about|above|across|after|against|along|alongside|amid|amidst|among|amongst|around|at|before|behind|below|beneath|beside|besides|between|beyond|by|despite|down|during|en|ere|except|for|from|in|inside|into|like|minus|near|nearer|nearest|notwithstanding|of|off|on|onto|opposite|out|outside|over|past|per|plus|re|reference|round|sans|save|since|than|through|throughout|till|toward|towards|under|underneath|unlike|until|up|upon|v\.|versus|via|vs\.|with|within|without|wort)_IN_\g{preposition} ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+),PHRASAL VERBS (V+PARTICLE+PREP+NP),,句動詞(動詞+パーティクル+前置詞+名詞句・代名詞),,PHV.V_PART_PREP,,動詞はbeを除く；パーティクルは主要なもの；前置詞はtoを除く主要なもの,V[HV].? パーティクル 前置詞 名詞句・代名詞
58,((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) \K(am|'m|are|'re|is|'s)_VB[PZ]_be(?! (not|n't)_),TENSE/ASPECT: PRESENT (BE),AFF. DEC.,時制・相(現在)(be動詞),肯定平叙,TA.PRESENT.be.AFF,,名詞句・代名詞に続くものに限定；現在進行・受動態も含まれる,名詞句・代名詞 \K VB[PZ] (?!{not})
58,((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) \K(am|'m|are|'re|is|'s)_VB[PZ]_be (not|n't)_\S+,TENSE/ASPECT: PRESENT (BE),NEG. DEC.,時制・相(現在)(be動詞),否定平叙,TA.PRESENT.be.NEG,,名詞句・代名詞に続くものに限定；現在進行・受動態も含まれる,名詞句・代名詞 \K VB[PZ] {not}
58,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(am|are|is)_VB[PZ]_be ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)\b(?! not_) .+? \?_SENT_\?",TENSE/ASPECT: PRESENT (BE),AFF. INT.,時制・相(現在)(be動詞),肯定疑問,TA.PRESENT.be.INT.AFF,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定；現在進行・受動態も含まれる,(^|区切り位置|接続詞) VB[PZ] 名詞句・代名詞 (?!not) (任意の語)*? ?
58,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(am|are|is)_VB[PZ]_be (n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) .+? \?_SENT_\?",TENSE/ASPECT: PRESENT (BE),NEG. INT.,時制・相(現在)(be動詞),否定疑問,TA.PRESENT.be.INT.NEG,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定；現在進行・受動態も含まれる,(^|区切り位置|接続詞) VB[PZ] (n't 名詞句・代名詞|名詞句・代名詞 not) (任意の語)*? ?
