pattern_id,regex,grammatical_item,Sentence_type,grammatical_item_JP,Sentence_type_JP,shorthand_code,,comment,abbreviated_pattern
78,(had|'d)_VHD_have (not|n't)_\S+ been_VBN_be \S+_V.N_\S+,PASSIVE: PAST PERFECT,NEG. DEC.,受動態(過去完了),否定平叙,PASS.PASTPF.NEG,,過去完了進行の受動態は省略,VHD {not} been V.N
78,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Khad_VHD_have ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) been_VBN_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: PAST PERFECT,AFF. INT.,受動態(過去完了),肯定疑問,PASS.PASTPF.INT.AFF,,過去完了進行の受動態は省略；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) had 名詞句・代名詞 been V.N (任意の語)*? ?
78,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Khad_VHD_have (n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) been_VBN_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: PAST PERFECT,NEG. INT.,受動態(過去完了),否定疑問,PASS.PASTPF.INT.NEG,,過去完了進行の受動態は省略；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) had (n't 名詞句・代名詞|名詞句・代名詞 not) been V.N (任意の語)*? ?
79,(will|'ll)_MD_will be_VB_be \S+_V.N_\S+,PASSIVE: FUTURE,AFF. DEC.,受動態(未来),肯定平叙,PASS.FUT.AFF,,willに限定,{will}_MD be V.N
79,(will|'ll|wo)_MD_(will|wo) (not|n't)_\S+ be_VB_be \S+_V.N_\S+,PASSIVE: FUTURE,NEG. DEC.,受動態(未来),否定平叙,PASS.FUT.NEG,,willに限定,{will}_MD {not} be V.N
79,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kwill_MD_will ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) be_VB_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: FUTURE,AFF. INT.,受動態(未来),肯定疑問,PASS.FUT.INT.AFF,,willに限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) will_MD 名詞句・代名詞 be V.N (任意の語)*? ?
79,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(wo_MD_wo n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|will_MD_will ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) be_VB_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: FUTURE,NEG. INT.,受動態(未来),否定疑問,PASS.FUT.INT.NEG,,willに限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) (wo n't 名詞句・代名詞|will_MD 名詞句・代名詞 not) be V.N (任意の語)*? ?
80,(will|'ll)_MD_will be_VB_be being_VBG_be \S+_V.N_\S+,PASSIVE: FUTURE PROGRESSIVE,AFF. DEC.,受動態(未来進行),肯定平叙,PASS.FUTPRG.AFF,,,{will}_MD be being V.N
80,(will|'ll|wo)_MD_(will|wo) (not|n't)_\S+ be_VB_be being_VBG_be \S+_V.N_\S+,PASSIVE: FUTURE PROGRESSIVE,NEG. DEC.,受動態(未来進行),否定平叙,PASS.FUTPRG.NEG,,,{will}_MD {not} be being V.N
80,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kwill_MD_will ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) be_VB_be being_VBG_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: FUTURE PROGRESSIVE,AFF. INT.,受動態(未来進行),肯定疑問,PASS.FUTPRG.INT.AFF,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) will_MD 名詞句・代名詞 be being V.N (任意の語)*? ?
